TD ID TJ DF Dd Db
10 2003 4 6 0 6
15 2000 4 11 0 11
15 2002 4 11 0 11
16 2005 4 12 0 12
16 2008 4 12 0 12
16 2006 4 12 0 12
17 2009 4 13 0 13
17 2007 4 13 0 13
17 2004 4 13 0 13
17 2001 4 13 0 13
29 2011 25 4 0 4
37 2022 29 8 0 8
38 2037 33 5 0 5
38 2021 29 9 0 9
39 2026 29 10 0 10
40 2014 25 15 0 15
41 2038 33 8 0 8
42 2010 25 17 0 17
45 2017 25 20 0 20
45 2046 39 6 0 6
46 2054 40 6 0 6
47 2061 41 6 0 6
47 2052 40 7 0 7
47 2051 40 7 0 7
48 2016 25 23 0 23
49 2063 41 8 0 8
50 2018 25 25 0 25
50 2019 25 25 0 25
52 2076 43 9 0 9
52 2065 41 11 0 11
53 2078 43 10 0 10
55 2077 43 12 0 12
56 2013 25 31 0 31
57 2097 47 10 0 10
58 2098 47 11 0 11
58 2079 43 15 0 15
59 2028 29 30 0 30
59 2029 29 30 0 30
59 2015 25 34 0 34
59 2067 41 18 0 18
59 2080 45 14 0 14
60 2085 45 15 0 15
62 2137 52 10 0 10
63 2107 48 15 0 15
64 2012 25 39 0 39
65 2135 52 13 0 13
66 2133 52 14 0 14
69 2118 50 19 0 19
69 2124 51 18 0 18
71 2123 51 20 0 20
71 2121 51 20 0 20
74 2091 47 27 0 27
74 2156 58 16 0 16
75 2020 29 46 0 46
75 2110 50 25 0 25
76 2141 56 20 0 20
78 2178 63 15 0 15
78 2139 52 26 0 26
79 2189 65 14 0 14
80 2126 51 29 0 29
81 2179 63 18 0 18
81 2226 71 10 0 10
83 2192 66 17 0 17
84 2158 58 26 0 26
0 2 0 63 -63 0
0 5 0 69 -69 0
0 14 7 51 -58 -7
0 17 7 52 -59 -7
0 4 0 62 -62 0
0 15 7 52 -59 -7
0 226 50 8 -58 -50
0 223 50 8 -58 -50
0 188 44 14 -58 -44
0 234 55 5 -60 -55
0 288 64 3 -67 -64
0 282 64 3 -67 -64
0 283 64 3 -67 -64
0 245 56 12 -68 -56
0 259 57 11 -68 -57
0 263 58 11 -69 -58
0 267 58 11 -69 -58
0 238 55 15 -70 -55
0 192 45 25 -70 -45
0 254 57 14 -71 -57
0 198 45 26 -71 -45
0 232 55 17 -72 -55
0 145 39 33 -72 -39
0 165 42 31 -73 -42
0 167 42 31 -73 -42
85 2163 62 23 0 23
86 2175 63 23 0 23
86 2180 65 21 0 21
87 2024 29 58 0 58
87 2025 29 58 0 58
87 2027 29 58 0 58
91 2168 62 29 0 29
91 2194 66 25 0 25
92 2188 65 27 0 27
92 2241 76 16 0 16
93 2198 66 27 0 27
94 2207 69 25 0 25
94 2257 81 13 0 13
95 2222 71 24 0 24
95 2165 62 33 0 33
96 2268 82 14 0 14
96 2262 82 14 0 14
97 2244 76 21 0 21
98 2231 72 26 0 26
98 2246 76 22 0 22
98 2263 82 16 0 16
99 2276 83 16 0 16
0 126 32 48 -80 -32
0 150 39 41 -80 -39
0 129 32 50 -82 -32
0 138 36 46 -82 -36
0 117 31 52 -83 -31
0 158 41 43 -84 -41
0 318 75 9 -84 -75
0 168 42 43 -85 -42
0 123 32 53 -85 -32
0 120 31 55 -86 -31
0 323 84 4 -88 -84
100 2255 81 19 0 19
100 2308 89 11 0 11
100 2242 76 24 0 24
100 2253 81 19 0 19
100 2195 66 34 0 34
102 2251 81 21 0 21
102 2267 82 20 0 20
103 2293 86 17 0 17
103 2272 83 20 0 20
103 2234 72 31 0 31
103 2297 86 17 0 17
103 2270 83 20 0 20
105 2280 84 21 0 21
105 2252 81 24 0 24
105 2307 89 16 0 16
