TD ID TJ DF Dd Db
6 6 5 1 0 1
12 10 5 7 0 7
12 26 11 1 0 1
12 25 11 1 0 1
13 18 10 3 0 3
13 16 10 3 0 3
14 30 11 3 0 3
15 11 10 5 0 5
15 21 11 4 0 4
15 32 14 1 0 1
15 39 14 1 0 1
15 27 11 4 0 4
17 3 5 12 0 12
17 22 11 6 0 6
17 31 14 3 0 3
18 20 10 8 0 8
19 59 19 0 0 0
20 60 19 1 0 1
21 40 14 7 0 7
22 71 22 0 0 0
24 44 16 8 0 8
24 72 22 2 0 2
28 43 16 12 0 12
28 48 16 12 0 12
30 121 27 3 0 3
31 47 16 15 0 15
31 49 16 15 0 15
31 58 19 12 0 12
34 135 32 2 0 2
35 70 21 14 0 14
36 99 24 12 0 12
37 66 21 16 0 16
0 34 14 9 -23 -14
0 37 14 9 -23 -14
0 41 16 4 -20 -16
40 160 39 1 0 1
41 83 23 18 0 18
41 85 23 18 0 18
41 143 38 3 0 3
42 115 26 16 0 16
43 51 19 24 0 24
43 62 21 22 0 22
43 63 21 22 0 22
44 125 27 17 0 17
44 97 24 20 0 20
44 98 24 20 0 20
44 100 24 20 0 20
45 77 22 23 0 23
45 82 23 22 0 22
46 86 23 23 0 23
0 75 22 11 -33 -22
0 91 24 11 -35 -24
0 42 16 2 -18 -16
0 57 19 7 -26 -19
0 55 19 12 -31 -19
0 80 22 11 -33 -22
0 67 21 13 -34 -21
0 81 23 14 -37 -23
48 171 47 1 0 1
50 117 26 24 0 24
51 140 32 19 0 19
52 69 21 31 0 31
52 194 51 1 0 1
52 205 52 0 0 0
52 204 52 0 0 0
55 104 25 30 0 30
58 132 32 26 0 26
59 133 32 27 0 27
59 127 27 32 0 32
59 253 59 0 0 0
62 118 26 36 0 36
66 162 45 21 0 21
66 289 65 1 0 1
66 271 64 2 0 2
67 170 45 22 0 22
69 116 26 43 0 43
70 180 47 23 0 23
71 292 70 1 0 1
72 159 39 33 0 33
73 310 72 1 0 1
75 304 72 3 0 3
75 191 51 24 0 24
75 176 47 28 0 28
77 237 56 21 0 21
77 279 64 13 0 13
78 295 70 8 0 8
0 102 25 36 -61 -25
0 174 47 22 -69 -47
82 150 38 44 0 44
83 189 48 35 0 35
84 226 55 29 0 29
84 103 25 59 0 59
86 240 56 30 0 30
87 179 47 40 0 40
89 87 23 66 0 66
90 250 58 32 0 32
90 149 38 52 0 52
91 184 48 43 0 43
91 192 51 40 0 40
91 208 52 39 0 39
91 282 65 26 0 26
0 94 24 29 -53 -24
0 124 27 26 -53 -27
92 333 80 12 0 12
0 61 21 12 -33 -21
0 122 27 21 -48 -27
0 113 26 29 -55 -26
0 126 27 32 -59 -27
0 141 38 38 -76 -38
0 28 11 1 -12 -11
0 14 10 4 -14 -10
0 64 21 1 -22 -21
0 65 21 2 -23 -21
0 68 21 4 -25 -21
0 95 24 1 -25 -24
0 52 19 6 -25 -19
0 123 27 1 -28 -27
0 120 26 4 -30 -26
0 114 26 4 -30 -26
0 137 32 1 -33 -32
0 152 39 1 -40 -39
0 144 38 2 -40 -38
0 142 38 3 -41 -38
0 168 45 1 -46 -45
0 167 45 1 -46 -45
0 166 45 3 -48 -45
0 220 53 1 -54 -53
0 211 53 1 -54 -53
0 197 51 3 -54 -51
0 238 56 0 -56 -56
0 228 55 2 -57 -55
0 243 58 1 -59 -58
0 245 58 2 -60 -58
0 266 61 1 -62 -61
0 268 61 1 -62 -61
0 286 65 1 -66 -65
0 278 64 2 -66 -64
0 309 72 1 -73 -72
0 306 72 2 -74 -72
0 324 77 1 -78 -77
0 325 77 1 -78 -77
0 332 80 1 -81 -80
93 358 83 10 0 10
93 341 81 12 0 12
94 223 55 39 0 39
94 357 83 11 0 11
94 229 55 39 0 39
94 378 92 2 0 2
96 200 51 45 0 45
97 206 52 45 0 45
98 274 64 34 0 34
98 276 64 34 0 34
99 246 58 41 0 41
101 213 53 48 0 48
101 219 53 48 0 48
101 186 48 53 0 53
101 285 65 36 0 36
102 392 100 2 0 2
105 190 48 57 0 57
105 254 59 46 0 46
105 188 48 57 0 57
105 412 104 1 0 1
108 239 56 52 0 52
108 436 106 2 0 2
109 298 70 39 0 39
109 207 52 57 0 57
109 272 64 45 0 45
109 105 25 84 0 84
109 280 64 45 0 45
110 446 109 1 0 1
111 447 109 2 0 2
111 317 74 37 0 37
112 459 111 1 0 1
112 442 109 3 0 3
112 78 22 90 0 90
112 435 106 6 0 6
112 73 22 90 0 90
112 414 104 8 0 8
113 424 105 8 0 8
113 92 24 89 0 89
113 54 19 94 0 94
115 320 74 41 0 41
115 425 105 10 0 10
117 472 116 1 0 1
117 473 116 1 0 1
117 469 115 2 0 2
117 236 56 61 0 61
117 471 116 1 0 1
117 131 32 85 0 85
117 136 32 85 0 85
117 151 39 78 0 78
118 163 45 73 0 73
119 177 47 72 0 72
119 221 55 64 0 64
119 247 58 61 0 61
119 316 74 45 0 45
120 307 72 48 0 48
120 483 119 1 0 1
121 232 56 65 0 65
123 300 70 53 0 53
123 337 80 43 0 43
123 494 122 1 0 1
126 492 122 4 0 4
127 283 65 62 0 62
129 523 126 3 0 3
131 522 126 5 0 5
131 547 130 1 0 1
133 185 48 85 0 85
134 557 132 2 0 2
135 569 134 1 0 1
136 573 135 1 0 1
0 249 58 57 -115 -58
0 202 52 71 -123 -52
137 570 134 3 0 3
137 563 134 3 0 3
138 584 137 1 0 1
138 590 137 1 0 1
138 536 127 11 0 11
138 577 135 3 0 3
138 499 122 16 0 16
140 241 58 82 0 82
141 303 72 69 0 69
141 361 90 51 0 51
143 370 90 53 0 53
144 622 142 2 0 2
145 612 141 4 0 4
147 318 74 73 0 73
149 353 83 66 0 66
0 225 55 79 -134 -55
0 329 77 59 -136 -77
0 155 39 75 -114 -39
0 355 83 33 -116 -83
0 259 59 58 -117 -59
0 164 45 88 -133 -45
0 296 70 68 -138 -70
0 312 74 28 -102 -74
0 199 51 57 -108 -51
0 323 77 44 -121 -77
0 339 80 59 -139 -80
0 264 61 45 -106 -61
0 270 61 59 -120 -61
0 209 52 72 -124 -52
0 183 48 54 -102 -48
0 261 61 59 -120 -61
0 235 56 65 -121 -56
0 222 55 79 -134 -55
0 251 59 56 -115 -59
0 146 38 97 -135 -38
150 682 150 0 0 0
152 181 48 104 0 104
153 263 61 92 0 92
154 702 153 1 0 1
154 703 153 1 0 1
156 294 70 86 0 86
158 331 80 78 0 78
158 621 142 16 0 16
158 618 141 17 0 17
159 655 146 13 0 13
161 611 141 20 0 20
163 393 100 63 0 63
163 397 100 63 0 63
166 734 163 3 0 3
167 735 163 4 0 4
0 182 48 107 -155 -48
0 351 83 72 -155 -83
169 315 74 95 0 95
169 257 59 110 0 110
169 750 166 3 0 3
169 745 166 3 0 3
169 748 166 3 0 3
169 602 140 29 0 29
170 417 104 66 0 66
170 692 152 18 0 18
170 736 163 7 0 7
170 752 168 2 0 2
171 732 163 8 0 8
171 634 143 28 0 28
171 646 145 26 0 26
171 761 171 0 0 0
172 608 140 32 0 32
172 591 139 33 0 33
172 661 147 25 0 25
172 690 150 22 0 22
173 421 105 68 0 68
173 423 105 68 0 68
175 433 106 69 0 69
177 230 55 122 0 122
178 328 77 101 0 101
178 663 147 31 0 31
178 670 147 31 0 31
179 441 109 70 0 70
179 625 142 37 0 37
179 721 160 19 0 19
179 89 23 156 0 156
179 139 32 147 0 147
181 299 70 111 0 111
181 273 64 117 0 117
183 803 182 1 0 1
184 795 181 3 0 3
184 802 182 2 0 2
186 801 182 4 0 4
187 396 100 87 0 87
187 792 181 6 0 6
187 787 180 7 0 7
