TD ID TJ DF Dd Db
188 342 81 107 0 107
188 828 187 1 0 1
188 799 181 7 0 7
189 404 102 87 0 87
189 45 16 173 0 173
189 824 187 2 0 2
189 819 185 4 0 4
189 101 25 164 0 164
190 406 102 88 0 88
191 850 190 1 0 1
192 400 100 92 0 92
0 450 109 71 -180 -109
0 465 115 52 -167 -115
0 440 106 70 -176 -106
0 321 77 100 -177 -77
0 428 105 45 -150 -105
0 214 53 102 -155 -53
0 293 70 86 -156 -70
0 458 111 50 -161 -111
0 398 100 63 -163 -100
0 360 83 88 -171 -83
0 383 94 78 -172 -94
195 877 194 1 0 1
197 896 196 1 0 1
0 343 81 83 -164 -81
199 431 106 93 0 93
0 260 59 90 -149 -59
0 288 65 100 -165 -65
0 345 81 107 -188 -81
0 362 90 3 -93 -90
0 390 94 0 -94 -94
0 399 100 1 -101 -100
0 410 102 1 -103 -102
0 438 106 7 -113 -106
0 475 116 1 -117 -116
0 476 116 1 -117 -116
0 490 119 1 -120 -119
0 489 119 2 -121 -119
0 518 124 1 -125 -124
0 527 126 0 -126 -126
0 528 126 2 -128 -126
0 531 127 2 -129 -127
0 544 130 1 -131 -130
0 520 124 7 -131 -124
0 554 132 1 -133 -132
0 555 132 1 -133 -132
0 566 134 2 -136 -134
0 578 135 1 -136 -135
0 495 122 16 -138 -122
0 504 123 16 -139 -123
0 596 139 1 -140 -139
0 623 142 1 -143 -142
0 662 147 1 -148 -147
0 686 150 0 -150 -150
0 676 149 2 -151 -149
0 677 149 2 -151 -149
0 705 153 1 -154 -153
0 691 152 3 -155 -152
0 672 149 7 -156 -149
0 659 146 10 -156 -146
0 656 146 11 -157 -146
0 658 146 11 -157 -146
0 650 145 13 -158 -145
0 723 160 1 -161 -160
0 651 146 15 -161 -146
0 601 140 21 -161 -140
0 738 163 1 -164 -163
0 756 168 1 -169 -168
0 751 168 1 -169 -168
0 766 171 2 -173 -171
0 771 178 0 -178 -178
0 774 178 1 -179 -178
0 794 181 0 -181 -181
0 810 182 1 -183 -182
0 830 187 1 -188 -187
0 826 187 2 -189 -187
0 821 187 2 -189 -187
0 813 185 6 -191 -185
202 482 119 83 0 83
202 486 119 83 0 83
202 940 200 2 0 2
203 497 122 81 0 81
203 918 198 5 0 5
203 949 201 2 0 2
203 912 198 5 0 5
203 956 202 1 0 1
204 915 198 6 0 6
207 488 119 88 0 88
207 493 122 85 0 85
207 427 105 102 0 102
209 987 208 1 0 1
216 530 126 90 0 90
216 843 190 26 0 26
216 923 199 17 0 17
217 890 195 22 0 22
218 967 205 13 0 13
219 868 193 26 0 26
219 854 192 27 0 27
220 873 194 26 0 26
220 848 190 30 0 30
220 895 196 24 0 24
220 853 192 28 0 28
221 913 198 23 0 23
221 925 199 22 0 22
221 849 190 31 0 31
221 899 196 25 0 25
227 302 72 155 0 155
227 416 104 123 0 123
227 359 83 144 0 144
231 432 106 125 0 125
231 422 105 126 0 126
232 227 55 177 0 177
232 389 94 138 0 138
233 330 77 156 0 156
237 594 139 98 0 98
238 599 139 99 0 99
239 604 140 99 0 99
239 609 140 99 0 99
239 519 124 115 0 115
240 301 72 168 0 168
242 451 111 131 0 131
243 740 163 80 0 80
243 391 100 143 0 143
243 533 127 116 0 116
246 371 92 154 0 154
246 462 115 131 0 131
246 463 115 131 0 131
246 464 115 131 0 131
248 543 130 118 0 118
248 546 130 118 0 118
249 666 147 102 0 102
249 470 115 134 0 134
249 474 116 133 0 133
250 420 104 146 0 146
251 767 171 80 0 80
252 680 149 103 0 103
253 683 150 103 0 103
254 430 105 149 0 149
256 565 134 122 0 122
256 434 106 150 0 150
257 579 135 122 0 122
259 581 137 122 0 122
259 582 137 122 0 122
260 718 157 103 0 103
261 505 123 138 0 138
261 507 123 138 0 138
266 629 142 124 0 124
266 829 187 79 0 79
268 643 145 123 0 123
268 644 145 123 0 123
269 649 145 124 0 124
269 409 102 167 0 167
275 917 198 77 0 77
277 439 106 171 0 171
278 959 202 76 0 76
281 975 207 74 0 74
283 809 182 101 0 101
283 511 124 159 0 159
284 617 141 143 0 143
286 827 187 99 0 99
286 539 127 159 0 159
286 831 189 97 0 97
287 403 102 185 0 185
288 648 145 143 0 143
289 757 168 121 0 121
290 668 147 143 0 143
290 468 115 175 0 175
292 671 149 143 0 143
293 907 197 96 0 96
293 924 199 94 0 94
295 944 201 94 0 94
295 950 201 94 0 94
295 709 153 142 0 142
295 575 135 160 0 160
295 580 135 160 0 160
297 785 180 117 0 117
297 712 157 140 0 140
298 979 207 91 0 91
299 597 139 160 0 160
302 524 126 176 0 176
302 835 189 113 0 113
302 836 189 113 0 113
303 642 145 158 0 158
304 858 192 112 0 112
305 667 147 158 0 158
305 480 116 189 0 189
306 885 195 111 0 111
306 887 195 111 0 111
306 889 195 111 0 111
307 552 132 175 0 175
307 558 132 175 0 175
308 922 199 109 0 109
311 966 205 106 0 106
311 789 180 131 0 131
313 616 141 172 0 172
313 994 212 101 0 101
313 996 212 101 0 101
315 755 168 147 0 147
315 864 193 122 0 122
315 664 147 168 0 168
316 897 196 120 0 120
316 902 197 119 0 119
316 687 150 166 0 166
317 696 152 165 0 165
317 699 152 165 0 165
317 564 134 183 0 183
317 936 200 117 0 117
318 776 178 140 0 140
319 788 180 139 0 139
319 798 181 138 0 138
319 988 208 111 0 111
320 722 160 160 0 160
320 999 212 108 0 108
321 825 187 134 0 134
321 749 166 155 0 155
321 841 190 131 0 131
321 842 190 131 0 131
323 952 202 121 0 121
323 780 178 145 0 145
325 938 200 125 0 125
325 963 205 120 0 120
325 990 208 117 0 117
325 808 182 143 0 143
325 627 142 183 0 183
326 886 195 131 0 131
Draw
Earth Army
Total Earth Soliders: 3110  Total Earth Tanks: 1389 Total Earth Gunnery: 1569
Percentage Of Destructed Units Relative To Their Total:
Earth Soliders: 100 Earth Tanks: 100 Earth Gunnery: 0
Percentage Of Total Destructed Units Relative To Their Total:0
51 -28 23
2 -1
Total Healed ratio: 0
Alien Army
Total Alien Soldiers: 1640  Total Alien Monester: 1907 Total Alien Drones: 1446
Percentage Of Destructed Units Relative To Their Total : Alien Soldiers: 0 Alien Monesters: 0 Alien Drones: 0
Percentage Of Total Destructed Units Relative To Their Total:0
0 0 0
0 0
