TD ID TJ DF Dd Db
64 2269 62 2 0 2
65 2276 64 1 0 1
65 2272 64 1 0 1
65 2274 64 1 0 1
66 2231 57 9 0 9
66 2232 57 9 0 9
66 2234 57 9 0 9
66 2278 64 2 0 2
67 2221 55 12 0 12
67 2280 66 1 0 1
67 2289 66 1 0 1
67 2287 66 1 0 1
67 2279 64 3 0 3
68 2268 62 6 0 6
68 2247 59 9 0 9
68 2281 66 2 0 2
69 2233 57 12 0 12
70 2258 60 10 0 10
70 2235 57 13 0 13
70 2236 57 13 0 13
70 2238 57 13 0 13
70 2309 70 0 0 0
70 2299 69 1 0 1
71 2223 55 16 0 16
71 2242 59 12 0 12
71 2267 62 9 0 9
71 2243 59 12 0 12
71 2249 59 12 0 12
71 2307 70 1 0 1
71 2302 70 1 0 1
72 2283 66 6 0 6
72 2290 69 3 0 3
72 2293 69 3 0 3
72 2306 70 2 0 2
73 2250 60 13 0 13
73 2254 60 13 0 13
73 2314 72 1 0 1
73 2318 72 1 0 1
73 2315 72 1 0 1
74 2237 57 17 0 17
74 2273 64 10 0 10
74 2275 64 10 0 10
75 2263 62 13 0 13
75 2265 62 13 0 13
75 2217 54 21 0 21
75 2319 72 3 0 3
75 2313 72 3 0 3
75 2311 72 3 0 3
76 2284 66 10 0 10
76 2285 66 10 0 10
77 2301 70 7 0 7
77 2270 64 13 0 13
77 2325 76 1 0 1
77 2320 76 1 0 1
77 2323 76 1 0 1
77 2328 76 1 0 1
78 2225 55 23 0 23
78 2260 62 16 0 16
78 2317 72 6 0 6
78 2291 69 9 0 9
79 2294 69 10 0 10
79 2297 69 10 0 10
79 2282 66 13 0 13
79 2286 66 13 0 13
79 2322 76 3 0 3
80 2308 70 10 0 10
80 2347 80 0 0 0
80 2339 79 1 0 1
80 2331 79 1 0 1
80 2332 79 1 0 1
81 2312 72 9 0 9
81 2345 80 1 0 1
81 2344 80 1 0 1
81 2348 80 1 0 1
81 2342 80 1 0 1
81 2340 80 1 0 1
82 2295 69 13 0 13
82 2296 69 13 0 13
82 2298 69 13 0 13
83 2300 70 13 0 13
83 2271 64 19 0 19
84 2316 72 12 0 12
84 2358 84 0 0 0
85 2288 66 19 0 19
85 2352 84 1 0 1
86 2303 70 16 0 16
86 2304 70 16 0 16
86 2305 70 16 0 16
87 2292 69 18 0 18
87 2351 84 3 0 3
88 2334 79 9 0 9
88 2326 76 12 0 12
88 2327 76 12 0 12
88 2360 87 1 0 1
88 2361 87 1 0 1
88 2367 87 1 0 1
89 2349 80 9 0 9
89 2277 64 25 0 25
89 2350 84 5 0 5
90 2368 87 3 0 3
91 2310 72 19 0 19
91 2321 76 15 0 15
91 2333 79 12 0 12
91 2336 79 12 0 12
91 2337 79 12 0 12
91 2338 79 12 0 12
91 2370 90 1 0 1
91 2378 90 1 0 1
91 2374 90 1 0 1
91 2373 90 1 0 1
92 2343 80 12 0 12
92 2353 84 8 0 8
92 2371 90 2 0 2
93 2364 87 6 0 6
93 2365 87 6 0 6
93 2356 84 9 0 9
93 2359 84 9 0 9
93 2324 76 17 0 17
93 2372 90 3 0 3
94 2329 76 18 0 18
94 2341 80 14 0 14
94 2346 80 14 0 14
94 2375 90 4 0 4
94 2384 93 1 0 1
95 2396 94 1 0 1
95 2382 93 2 0 2
95 2399 94 1 0 1
95 2390 94 1 0 1
95 2389 93 2 0 2
96 2369 87 9 0 9
96 2357 84 12 0 12
96 2330 79 17 0 17
96 2408 96 0 0 0
96 2392 94 2 0 2
97 2354 84 13 0 13
97 2377 90 7 0 7
97 2362 87 10 0 10
97 2404 96 1 0 1
97 2401 96 1 0 1
98 2363 87 11 0 11
98 2391 94 4 0 4
98 2410 97 1 0 1
99 2426 98 1 0 1
99 2400 96 3 0 3
99 2423 98 1 0 1
99 2409 96 3 0 3
100 2379 90 10 0 10
100 2380 93 7 0 7
100 2383 93 7 0 7
100 2385 93 7 0 7
100 2422 98 2 0 2
100 2429 98 2 0 2
100 2420 98 2 0 2
100 2428 98 2 0 2
101 2388 93 8 0 8
101 2366 87 14 0 14
101 2403 96 5 0 5
101 2335 79 22 0 22
101 2430 100 1 0 1
101 2436 100 1 0 1
101 2424 98 3 0 3
102 2414 97 5 0 5
102 2355 84 18 0 18
102 2376 90 12 0 12
103 2387 93 10 0 10
103 2405 96 7 0 7
103 2406 96 7 0 7
103 2446 102 1 0 1
103 2441 102 1 0 1
104 2393 94 10 0 10
104 2394 94 10 0 10
104 2455 103 1 0 1
104 2452 103 1 0 1
104 2458 103 1 0 1
104 2454 103 1 0 1
105 2439 100 5 0 5
105 2425 98 7 0 7
105 2427 98 7 0 7
105 2456 103 2 0 2
105 2463 105 0 0 0
105 2460 105 0 0 0
105 2457 103 2 0 2
106 2443 102 4 0 4
106 2397 94 12 0 12
106 2412 97 9 0 9
106 2413 97 9 0 9
106 2416 97 9 0 9
106 2462 105 1 0 1
106 2459 103 3 0 3
106 2440 102 4 0 4
107 2418 97 10 0 10
107 2432 100 7 0 7
107 2453 103 4 0 4
107 2448 102 5 0 5
107 2461 105 2 0 2
107 2438 100 7 0 7
107 2402 96 11 0 11
108 2435 100 8 0 8
108 2421 98 10 0 10
108 2445 102 6 0 6
108 2447 102 6 0 6
108 2442 102 6 0 6
108 2466 105 3 0 3
108 2451 103 5 0 5
108 2444 102 6 0 6
108 2437 100 8 0 8
108 2386 93 15 0 15
109 2434 100 9 0 9
109 2407 96 13 0 13
109 2449 102 7 0 7
109 2417 97 12 0 12
109 2415 97 12 0 12
109 2431 100 9 0 9
109 2381 93 16 0 16
109 2411 97 12 0 12
