TD ID TJ DF Dd Db
9 2012 3 6 0 6
9 2013 3 6 0 6
9 2019 3 6 0 6
9 2003 0 9 0 9
9 2024 6 3 0 3
9 2000 0 9 0 9
9 2015 3 6 0 6
11 2016 3 8 0 8
11 2036 7 4 0 4
11 2028 6 5 0 5
12 2001 0 12 0 12
12 2037 7 5 0 5
12 2025 6 6 0 6
14 2004 0 14 0 14
14 2023 6 8 0 8
14 2031 7 7 0 7
15 2008 0 15 0 15
15 2010 3 12 0 12
15 2048 10 5 0 5
15 2051 11 4 0 4
15 2049 10 5 0 5
15 2041 10 5 0 5
15 2032 7 8 0 8
16 2059 11 5 0 5
16 2054 11 5 0 5
17 2014 3 14 0 14
18 2002 0 18 0 18
18 2067 13 5 0 5
18 2061 13 5 0 5
18 2066 13 5 0 5
18 2055 11 7 0 7
18 2026 6 12 0 12
19 2062 13 6 0 6
20 2018 3 17 0 17
20 2007 0 20 0 20
20 2021 6 14 0 14
20 2056 11 9 0 9
20 2060 13 7 0 7
20 2020 6 14 0 14
21 2045 10 11 0 11
22 2033 7 15 0 15
22 2034 7 15 0 15
22 2040 10 12 0 12
22 2009 0 22 0 22
22 2006 0 22 0 22
23 2011 3 20 0 20
23 2005 0 23 0 23
23 2047 10 13 0 13
24 2017 3 21 0 21
25 2039 7 18 0 18
25 2085 23 2 0 2
25 2076 22 3 0 3
25 2077 22 3 0 3
25 2078 22 3 0 3
25 2022 6 19 0 19
28 2099 25 3 0 3
28 2087 23 5 0 5
29 2091 25 4 0 4
31 2050 11 20 0 20
31 2117 29 2 0 2
32 2102 28 4 0 4
32 2096 25 7 0 7
32 2100 28 4 0 4
32 2118 29 3 0 3
33 2109 28 5 0 5
33 2114 29 4 0 4
34 2038 7 27 0 27
34 2042 10 24 0 24
34 2044 10 24 0 24
34 2027 6 28 0 28
35 2107 28 7 0 7
36 2068 13 23 0 23
36 2030 7 29 0 29
39 2125 35 4 0 4
39 2129 35 4 0 4
39 2126 35 4 0 4
40 2063 13 27 0 27
40 2128 35 5 0 5
41 2120 35 6 0 6
41 2122 35 6 0 6
42 2136 36 6 0 6
43 2148 38 5 0 5
44 2149 38 6 0 6
44 2146 38 6 0 6
45 2046 10 35 0 35
45 2151 40 5 0 5
45 2156 40 5 0 5
45 2153 40 5 0 5
45 2169 41 4 0 4
46 2086 23 23 0 23
46 2161 41 5 0 5
47 2065 13 34 0 34
47 2179 44 3 0 3
47 2173 44 3 0 3
49 2150 40 9 0 9
49 2188 45 4 0 4
49 2180 45 4 0 4
49 2183 45 4 0 4
50 2194 48 2 0 2
50 2174 44 6 0 6
50 2130 36 14 0 14
51 2058 11 40 0 40
51 2035 7 44 0 44
51 2197 48 3 0 3
52 2029 6 46 0 46
53 2083 23 30 0 30
53 2172 44 9 0 9
53 2202 51 2 0 2
55 2052 11 44 0 44
55 2213 52 3 0 3
55 2212 52 3 0 3
55 2204 51 4 0 4
56 2057 11 45 0 45
56 2159 40 16 0 16
57 2079 22 35 0 35
57 2229 54 3 0 3
57 2222 54 3 0 3
57 2224 54 3 0 3
58 2116 29 29 0 29
58 2119 29 29 0 29
58 2237 56 2 0 2
59 2097 25 34 0 34
59 2232 56 3 0 3
59 2227 54 5 0 5
60 2215 52 8 0 8
61 2228 54 7 0 7
61 2239 56 5 0 5
61 2236 56 5 0 5
62 2248 59 3 0 3
63 2069 13 50 0 50
63 2053 11 52 0 52
63 2221 54 9 0 9
63 2211 52 11 0 11
65 2257 62 3 0 3
65 2191 48 17 0 17
66 2262 64 2 0 2
66 2256 62 4 0 4
67 2276 65 2 0 2
67 2268 64 3 0 3
67 2274 65 2 0 2
67 2271 65 2 0 2
68 2244 59 9 0 9
68 2203 51 17 0 17
68 2254 62 6 0 6
69 2247 59 10 0 10
70 2124 35 35 0 35
70 2270 65 5 0 5
70 2134 36 34 0 34
71 2108 28 43 0 43
71 2226 54 17 0 17
71 2103 28 43 0 43
71 2101 28 43 0 43
72 2264 64 8 0 8
72 2252 62 10 0 10
72 2214 52 20 0 20
72 2267 64 8 0 8
72 2084 23 49 0 49
73 2135 36 37 0 37
73 2177 44 29 0 29
74 2094 25 49 0 49
75 2287 73 2 0 2
76 2106 28 48 0 48
76 2284 73 3 0 3
76 2175 44 32 0 32
77 2071 22 55 0 55
77 2072 22 55 0 55
77 2073 22 55 0 55
77 2090 25 52 0 52
77 2127 35 42 0 42
77 2288 73 4 0 4
77 2121 35 42 0 42
79 2298 75 4 0 4
80 2095 25 55 0 55
80 2309 76 4 0 4
80 2311 78 2 0 2
81 2043 10 71 0 71
81 2319 78 3 0 3
81 2310 78 3 0 3
82 2080 23 59 0 59
82 2296 75 7 0 7
83 2082 23 60 0 60
83 2088 23 60 0 60
83 2064 13 70 0 70
83 2305 76 7 0 7
84 2113 29 55 0 55
85 2165 41 44 0 44
85 2137 36 49 0 49
85 2139 36 49 0 49
86 2345 83 3 0 3
86 2330 82 4 0 4
86 2132 36 50 0 50
88 2349 83 5 0 5
88 2289 73 15 0 15
89 2342 83 6 0 6
89 2344 83 6 0 6
89 2347 83 6 0 6
89 2133 36 53 0 53
90 2074 22 68 0 68
90 2092 25 65 0 65
90 2359 85 5 0 5
90 2351 85 5 0 5
90 2356 85 5 0 5
90 2357 85 5 0 5
91 2111 29 62 0 62
91 2112 29 62 0 62
91 2346 83 8 0 8
92 2171 44 48 0 48
92 2115 29 63 0 63
92 2365 90 2 0 2
93 2366 90 3 0 3
93 2368 90 3 0 3
93 2339 82 11 0 11
94 2098 25 69 0 69
94 2370 91 3 0 3
95 2123 35 60 0 60
95 2144 38 57 0 57
95 2147 38 57 0 57
96 2081 23 73 0 73
96 2152 40 56 0 56
97 2383 95 2 0 2
98 2089 23 75 0 75
98 2131 36 62 0 62
98 2394 96 2 0 2
99 2408 97 2 0 2
100 2397 96 4 0 4
100 2400 97 3 0 3
101 2391 96 5 0 5
101 2409 97 4 0 4
102 2404 97 5 0 5
102 2405 97 5 0 5
102 2376 91 11 0 11
102 2166 41 61 0 61
103 2382 95 8 0 8
104 2401 97 7 0 7
105 2070 22 83 0 83
105 2075 22 83 0 83
106 2141 38 68 0 68
107 2145 38 69 0 69
107 2422 104 3 0 3
107 2412 103 4 0 4
107 2425 104 3 0 3
108 2093 25 83 0 83
108 2414 103 5 0 5
108 2419 103 5 0 5
108 2395 96 12 0 12
109 2423 104 5 0 5
109 2424 104 5 0 5
109 2184 45 64 0 64
109 2428 104 5 0 5
109 2410 103 6 0 6
109 2377 91 18 0 18
109 2160 41 68 0 68
110 2201 51 59 0 59
110 2206 51 59 0 59
110 2167 41 69 0 69
112 2218 52 60 0 60
112 2187 45 67 0 67
112 2438 110 2 0 2
112 2434 110 2 0 2
113 2154 40 73 0 73
113 2155 40 73 0 73
113 2446 111 2 0 2
113 2436 110 3 0 3
115 2162 41 74 0 74
115 2452 113 2 0 2
115 2456 113 2 0 2
116 2458 113 3 0 3
116 2439 110 6 0 6
116 2441 111 5 0 5
117 2138 36 81 0 81
117 2450 113 4 0 4
118 2448 111 7 0 7
119 2219 52 67 0 67
119 2209 51 68 0 68
119 2443 111 8 0 8
120 2233 56 64 0 64
120 2465 117 3 0 3
120 2467 117 3 0 3
120 2421 104 16 0 16
120 2459 113 7 0 7
121 2292 75 46 0 46
122 2238 56 66 0 66
122 2105 28 94 0 94
122 2315 78 44 0 44
122 2432 110 12 0 12
122 2464 117 5 0 5
122 2430 110 12 0 12
123 2142 38 85 0 85
123 2420 104 19 0 19
124 2176 44 80 0 80
124 2398 96 28 0 28
124 2388 95 29 0 29
124 2308 76 48 0 48
124 2295 75 49 0 49
125 2336 82 43 0 43
125 2360 90 35 0 35
126 2245 59 67 0 67
126 2326 79 47 0 47
127 2337 82 45 0 45
127 2316 78 49 0 49
130 2158 40 90 0 90
130 2157 40 90 0 90
131 2255 62 69 0 69
132 2223 54 78 0 78
132 2353 85 47 0 47
133 2476 129 4 0 4
133 2487 130 3 0 3
133 2475 129 4 0 4
133 2480 130 3 0 3
133 2335 82 51 0 51
133 2471 129 4 0 4
133 2474 129 4 0 4
135 2260 64 71 0 71
135 2478 129 6 0 6
136 2193 48 88 0 88
136 2195 48 88 0 88
136 2477 129 7 0 7
137 2497 135 2 0 2
137 2472 129 8 0 8
139 2275 65 74 0 74
139 2507 137 2 0 2
140 2104 28 112 0 112
141 2503 137 4 0 4
141 2505 137 4 0 4
142 2318 78 64 0 64
142 2110 29 113 0 113
142 2170 44 98 0 98
142 2178 44 98 0 98
142 2501 137 5 0 5
142 2502 137 5 0 5
142 2512 140 2 0 2
142 2509 137 5 0 5
142 2515 140 2 0 2
144 2246 59 85 0 85
144 2207 51 93 0 93
144 2514 140 4 0 4
144 2524 141 3 0 3
145 2182 45 100 0 100
145 2185 45 100 0 100
146 2217 52 94 0 94
146 2536 143 3 0 3
146 2538 143 3 0 3
146 2531 143 3 0 3
146 2527 141 5 0 5
148 2535 143 5 0 5
148 2529 141 7 0 7
148 2546 144 4 0 4
149 2508 137 12 0 12
149 2526 141 8 0 8
149 2530 143 6 0 6
149 2381 95 54 0 54
150 2520 141 9 0 9
150 2386 95 55 0 55
150 2545 144 6 0 6
152 2164 41 111 0 111
152 2168 41 111 0 111
152 2556 150 2 0 2
152 2551 150 2 0 2
152 2557 150 2 0 2
153 2190 48 105 0 105
153 2263 64 89 0 89
153 2539 143 10 0 10
153 2491 135 18 0 18
153 2513 140 13 0 13
154 2192 48 106 0 106
154 2196 48 106 0 106
154 2498 135 19 0 19
154 2496 135 19 0 19
155 2199 48 107 0 107
155 2561 153 2 0 2
155 2564 153 2 0 2
155 2559 150 5 0 5
156 2235 56 100 0 100
157 2303 76 81 0 81
157 2273 65 92 0 92
157 2277 65 92 0 92
157 2574 155 2 0 2
157 2500 137 20 0 20
157 2577 155 2 0 2
158 2566 153 5 0 5
158 2570 155 3 0 3
159 2579 155 4 0 4
159 2582 156 3 0 3
159 2578 155 4 0 4
160 2313 78 82 0 82
161 2592 159 2 0 2
161 2598 159 2 0 2
163 2607 161 2 0 2
164 2205 51 113 0 113
164 2208 51 113 0 113
164 2181 45 119 0 119
164 2602 161 3 0 3
164 2599 159 5 0 5
165 2210 52 113 0 113
165 2216 52 113 0 113
167 2615 164 3 0 3
167 2612 164 3 0 3
167 2601 161 6 0 6
168 2628 165 3 0 3
168 2623 165 3 0 3
168 2625 165 3 0 3
169 2610 164 5 0 5
170 2258 62 108 0 108
170 2343 83 87 0 87
170 2593 159 11 0 11
171 2609 161 10 0 10
171 2621 165 6 0 6
171 2626 165 6 0 6
172 2163 41 131 0 131
172 2636 169 3 0 3
172 2639 169 3 0 3
173 2617 164 9 0 9
173 2631 169 4 0 4
173 2619 164 9 0 9
174 2261 64 110 0 110
174 2265 64 110 0 110
174 2266 64 110 0 110
174 2294 75 99 0 99
174 2648 172 2 0 2
174 2645 172 2 0 2
175 2198 48 127 0 127
175 2230 56 119 0 119
175 2646 172 3 0 3
176 2655 173 3 0 3
176 2632 169 7 0 7
176 2594 159 17 0 17
177 2234 56 121 0 121
177 2272 65 112 0 112
177 2300 76 101 0 101
177 2668 175 2 0 2
177 2652 173 4 0 4
177 2665 175 2 0 2
177 2662 175 2 0 2
178 2278 65 113 0 113
178 2604 161 17 0 17
179 2663 175 4 0 4
180 2140 38 142 0 142
181 2143 38 143 0 143
181 2647 172 9 0 9
181 2651 173 8 0 8
182 2678 178 4 0 4
182 2677 178 4 0 4
182 2682 180 2 0 2
183 2323 79 104 0 104
183 2681 180 3 0 3
183 2683 180 3 0 3
183 2687 180 3 0 3
183 2673 178 5 0 5
184 2329 79 105 0 105
184 2240 59 125 0 125
184 2243 59 125 0 125
186 2200 51 135 0 135
186 2699 184 2 0 2
188 2189 45 143 0 143
188 2692 184 4 0 4
188 2691 184 4 0 4
188 2696 184 4 0 4
188 2708 185 3 0 3
189 2392 96 93 0 93
189 2715 186 3 0 3
189 2656 173 16 0 16
190 2716 186 4 0 4
190 2707 185 5 0 5
190 2664 175 15 0 15
191 2701 185 6 0 6
191 2719 186 5 0 5
191 2667 175 16 0 16
191 2686 180 11 0 11
192 2338 82 110 0 110
192 2250 62 130 0 130
192 2253 62 130 0 130
193 2713 186 7 0 7
194 2225 54 140 0 140
194 2282 73 121 0 121
194 2283 73 121 0 121
194 2725 192 2 0 2
195 2710 186 9 0 9
196 2726 192 4 0 4
196 2723 192 4 0 4
197 2690 184 13 0 13
